Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2025-08-25,299000.0,166600.0,300000.0,169500.0,293000.0,165500.0,300000.0,168500.0,152610,189191
2025-08-26,299500.0,162800.0,302500.0,167600.0,296000.0,162800.0,297000.0,167500.0,222025,317007
2025-08-27,302500.0,163400.0,304000.0,165300.0,299000.0,162800.0,302000.0,163700.0,133201,170337
2025-08-28,302500.0,169100.0,310000.0,171900.0,301500.0,162500.0,304500.0,163900.0,199023,546772
2025-08-29,318500.0,167800.0,322500.0,170400.0,306000.0,167800.0,308000.0,169300.0,552076,186711
2025-09-01,321500.0,166400.0,326000.0,169500.0,317500.0,165000.0,320000.0,167300.0,268038,141583
2025-09-02,323500.0,168000.0,324000.0,168700.0,319500.0,165500.0,321500.0,166400.0,176539,157174
2025-09-03,324500.0,171300.0,326000.0,172000.0,318000.0,167200.0,322500.0,167500.0,145348,251919
2025-09-04,320500.0,174300.0,325500.0,177300.0,317500.0,171300.0,321500.0,171500.0,210607,420913
2025-09-05,323000.0,175000.0,323500.0,175500.0,318500.0,173300.0,318500.0,173300.0,149648,193402
2025-09-08,323000.0,175200.0,324000.0,177000.0,318000.0,174000.0,323500.0,175800.0,185042,208552
2025-09-09,315500.0,178500.0,327000.0,181000.0,312000.0,175500.0,324000.0,176600.0,212611,478063
2025-09-10,319000.0,182400.0,325500.0,182800.0,313500.0,178000.0,313500.0,178000.0,216004,486104
2025-09-11,316000.0,186500.0,324500.0,186500.0,314000.0,182100.0,319000.0,183000.0,275234,614829
2025-09-12,313500.0,183000.0,321000.0,187100.0,311000.0,180700.0,318000.0,186200.0,197547,337472
2025-09-15,309500.0,195900.0,313000.0,198500.0,306500.0,182300.0,310500.0,182300.0,145731,895258
2025-09-16,309000.0,195900.0,310000.0,197000.0,304500.0,193000.0,308500.0,194700.0,150505,358816
2025-09-17,311000.0,193000.0,313000.0,197900.0,308500.0,191000.0,310500.0,196100.0,103522,319257
2025-09-18,311500.0,197300.0,317000.0,197700.0,307500.0,193100.0,310000.0,193700.0,167612,460586
2025-09-22,312500.0,197700.0,312500.0,200000.0,307000.0,194900.0,308000.0,198000.0,130228,248291
2025-09-23,312000.0,197700.0,312500.0,203500.0,308500.0,195700.0,309000.0,200000.0,92973,244582
2025-09-24,308000.0,193700.0,313500.0,199000.0,308000.0,189900.0,312000.0,197700.0,81257,372155
2025-09-25,301000.0,190300.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
