Date,Close,High,Low,Open,Volume
2025-08-25,225500.0,225500.0,221500.0,224500.0,564999
2025-08-26,221000.0,224500.0,221000.0,224000.0,685341
2025-08-27,218000.0,222000.0,216500.0,222000.0,691579
2025-08-28,217500.0,218500.0,215000.0,217500.0,663919
2025-08-29,214500.0,218000.0,214000.0,217500.0,750586
2025-09-01,215500.0,216500.0,210500.0,211500.0,634984
2025-09-02,225000.0,229000.0,216000.0,216000.0,1790972
2025-09-03,221000.0,225000.0,220000.0,224500.0,711207
2025-09-04,227000.0,229500.0,221500.0,221500.0,971838
2025-09-05,229000.0,230500.0,225500.0,227500.0,941824
2025-09-08,228000.0,229500.0,226000.0,228500.0,716688
2025-09-09,231000.0,233000.0,226000.0,228500.0,929473
2025-09-10,233500.0,234500.0,230500.0,232000.0,915806
2025-09-11,233000.0,236000.0,231500.0,234500.0,808213
2025-09-12,236000.0,239000.0,232500.0,234500.0,1191699
2025-09-15,234000.0,236000.0,231500.0,236000.0,710904
2025-09-16,235000.0,241000.0,234500.0,239500.0,923864
2025-09-17,233500.0,235000.0,229500.0,233500.0,2083776
2025-09-18,236750.0,238500.0,233500.0,235000.0,1004507
2025-09-22,232000.0,235000.0,229000.0,234000.0,1004689
2025-09-23,231000.0,235500.0,230000.0,232000.0,735957
2025-09-24,228000.0,233500.0,224500.0,231000.0,982181
2025-09-25,254000.0,0.0,0.0,0.0,0
