Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
2025-08-25,174300.0,1030000.0,380000.0,176400.0,1041000.0,380000.0,173500.0,1025000.0,371000.0,175300.0,1037000.0,373000.0,256934,42011,131387
2025-08-26,172900.0,1019000.0,381000.0,174300.0,1036000.0,386000.0,172100.0,1019000.0,377500.0,172700.0,1024000.0,377500.0,371583,78975,167140
2025-08-27,170800.0,1020000.0,373500.0,172900.0,1028000.0,382500.0,170300.0,1017000.0,372000.0,172900.0,1019000.0,382500.0,280190,36896,146277
2025-08-28,172400.0,1012000.0,364000.0,172900.0,1025000.0,377000.0,170800.0,1012000.0,363000.0,171000.0,1020000.0,374500.0,311284,51763,166059
2025-08-29,167600.0,1001000.0,352000.0,172700.0,1018000.0,367000.0,167600.0,1000000.0,351500.0,172400.0,1013000.0,367000.0,519650,80282,285675
2025-09-01,169800.0,996000.0,349000.0,170100.0,1006000.0,353500.0,167000.0,995000.0,345000.0,168200.0,1002000.0,352000.0,284322,60337,122899
2025-09-02,171200.0,997000.0,350000.0,172000.0,1007000.0,351500.0,168400.0,993000.0,345000.0,168400.0,1004000.0,349500.0,283757,49992,144808
2025-09-03,171500.0,1012000.0,348500.0,171900.0,1015000.0,359500.0,170100.0,995000.0,347000.0,170100.0,995000.0,353500.0,197103,46702,222771
2025-09-04,170200.0,1017000.0,351000.0,171600.0,1017000.0,365500.0,169400.0,1006000.0,350000.0,170500.0,1006000.0,365500.0,231914,52191,381451
2025-09-05,169000.0,1030000.0,343000.0,170200.0,1031000.0,351000.0,168500.0,1015000.0,342000.0,169600.0,1015000.0,350500.0,203398,52479,199629
2025-09-08,170000.0,1031000.0,343500.0,171200.0,1039000.0,345500.0,169200.0,1026000.0,336500.0,169900.0,1032000.0,337000.0,244197,32731,185815
2025-09-09,169500.0,1041000.0,347000.0,171200.0,1063000.0,349000.0,168400.0,1030000.0,341500.0,170800.0,1053000.0,344500.0,256580,74884,169345
2025-09-10,169700.0,1034000.0,340500.0,170700.0,1043000.0,347500.0,168200.0,1031000.0,339500.0,168200.0,1041000.0,347500.0,251627,54889,246196
2025-09-11,172000.0,1036000.0,350000.0,172000.0,1051000.0,353000.0,169200.0,1031000.0,344000.0,170000.0,1038000.0,347500.0,414687,104487,381294
2025-09-12,171700.0,1038000.0,355500.0,172500.0,1039000.0,356500.0,170400.0,1026000.0,350500.0,172000.0,1037000.0,354500.0,292998,78527,292617
2025-09-15,170000.0,1040000.0,355500.0,171900.0,1042000.0,359000.0,169800.0,1027000.0,352500.0,171500.0,1032000.0,356000.0,276179,64283,211120
2025-09-16,168700.0,1036000.0,349500.0,170100.0,1040000.0,359000.0,168700.0,1032000.0,346500.0,170000.0,1034000.0,357000.0,302390,49282,293554
2025-09-17,168400.0,1020000.0,350000.0,169600.0,1034000.0,356000.0,167600.0,1019000.0,348000.0,169500.0,1029000.0,351000.0,241463,72067,184541
2025-09-18,168500.0,1021000.0,350500.0,169800.0,1030000.0,354500.0,168000.0,1018000.0,347000.0,169000.0,1023000.0,351500.0,274407,51269,173795
2025-09-22,169100.0,1026000.0,349000.0,170600.0,1031000.0,355000.0,169000.0,1017000.0,348000.0,170500.0,1026000.0,350000.0,278594,51488,137479
2025-09-23,184200.0,1036000.0,357000.0,185400.0,1047000.0,357000.0,168600.0,1021000.0,347000.0,168700.0,1021000.0,348500.0,2543427,82937,177389
2025-09-24,176900.0,1046000.0,348000.0,184200.0,1046000.0,361500.0,174200.0,1034000.0,346500.0,184200.0,1039000.0,358500.0,1061295,71320,185199
2025-09-25,177900.0,1022000.0,361500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
