Date,Close,High,Low,Open,Volume
2025-08-25,54372.99609375,54865.50511633831,54372.99609375,54767.00331182065,828367
2025-08-26,54274.49609375,54668.5033249206,54175.99428595735,54372.99790154265,862682
2025-08-27,54570.0,54767.0036101083,54274.49458483754,54471.49819494585,542428
2025-08-28,54900.0,55300.0,54800.0,55000.0,704797
2025-08-29,54200.0,55100.0,54200.0,55000.0,1014170
2025-09-01,54800.0,55100.0,54100.0,54300.0,476628
2025-09-02,54700.0,55300.0,54600.0,54900.0,480839
2025-09-03,54400.0,54800.0,54300.0,54700.0,405659
2025-09-04,54700.0,54800.0,54200.0,54200.0,280404
2025-09-05,54800.0,54900.0,54500.0,54500.0,244775
2025-09-08,54100.0,54900.0,54000.0,54800.0,605744
2025-09-09,54200.0,54400.0,54100.0,54400.0,522785
2025-09-10,54800.0,54900.0,54100.0,54100.0,683214
2025-09-11,54900.0,55100.0,54600.0,54700.0,636267
2025-09-12,55100.0,55300.0,54800.0,55100.0,653103
2025-09-15,54500.0,55200.0,54400.0,55000.0,669445
2025-09-16,54500.0,54800.0,54300.0,54400.0,504582
2025-09-17,55400.0,55400.0,54500.0,54500.0,840509
2025-09-18,55400.0,55700.0,55100.0,55200.0,449138
2025-09-22,55100.0,55500.0,55000.0,55500.0,363252
2025-09-23,55000.0,55200.0,54900.0,55100.0,462075
2025-09-24,55100.0,55400.0,54900.0,55200.0,329476
2025-09-25,55200.0,0.0,0.0,0.0,0
