Date,Open,High,Low,Close,Volume,등락률,Adj Close
2020-09-17,60700,60800,59300,59500,25108356,-2.459016393442623,59500
2020-09-18,59800,59900,59100,59300,18884571,-0.33613445378151263,59300
2020-09-21,59100,60000,59000,59200,15140387,-0.16863406408094433,59200
2020-09-22,59100,59700,57800,58200,20830381,-1.6891891891891893,58200
2020-09-23,58400,58800,57400,58600,20111398,0.6872852233676976,58600
2020-09-24,57700,58600,57600,57800,17564020,-1.3651877133105803,57800
2020-09-25,57700,58200,57700,57900,11444683,0.17301038062283738,57900
2020-09-28,58300,58800,57900,58200,12614080,0.5181347150259068,58200
2020-09-29,58300,59000,58200,58200,15503563,0.0,58200
2020-10-05,57500,59200,57500,58700,20228289,0.859106529209622,58700
2020-10-06,59400,59900,58700,59000,14463826,0.5110732538330494,59000
2020-10-07,58700,59900,58500,59900,14861838,1.5254237288135595,59900
2020-10-08,60500,60700,59500,59700,24589924,-0.333889816360601,59700
2020-10-12,60000,60400,59900,60400,16145837,1.1725293132328307,60400
2020-10-13,61000,61400,60400,60900,19247631,0.8278145695364238,60900
2020-10-14,61000,61100,60500,60900,16086716,0.0,60900
2020-10-15,60700,60800,59700,60000,17756232,-1.477832512315271,60000
2020-10-16,60000,60400,59000,59500,16554190,-0.8333333333333334,59500
2020-10-19,59600,60200,59500,60000,14474985,0.8403361344537815,60000
2020-10-20,60300,60900,60100,60900,19326115,1.5,60900
2020-10-21,61200,61500,60600,60900,15703443,0.0,60900
2020-10-22,60300,60500,59800,60100,14294095,-1.3136288998357963,60100
2020-10-23,60400,60400,59800,60200,9322232,0.16638935108153077,60200
2020-10-26,60400,61100,60100,60400,13268226,0.33222591362126247,60400
2020-10-27,60300,60300,59500,59800,17260416,-0.9933774834437087,59800
2020-10-28,59400,59400,58800,59000,14428882,-1.3377926421404682,59000
2020-10-29,58200,58500,57500,58100,22636966,-1.5254237288135595,58100
2020-10-30,58000,58000,56600,56600,26907844,-2.5817555938037864,56600
2020-11-02,56400,57500,56000,57400,20489076,1.4134275618374559,57400
2020-11-03,57900,58900,57600,58800,14950919,2.4390243902439024,58800
2020-11-04,58900,59000,57800,58500,21718561,-0.5102040816326531,58500
2020-11-05,59000,60300,58800,60300,20639475,3.076923076923077,60300
2020-11-06,60700,60800,59600,60100,16910230,-0.33167495854063017,60100
2020-11-09,60700,60900,60100,60200,15892961,0.16638935108153077,60200
2020-11-10,60500,60500,59500,60200,19073552,0.0,60200
2020-11-11,60700,61400,60400,61300,25628510,1.8272425249169437,61300
2020-11-12,61000,61400,60700,61000,19800573,-0.48939641109298526,61000
2020-11-13,61300,63200,61000,63200,31508829,3.606557377049181,63200
