Date,Open,High,Low,Close,Volume,등락률,Adj Close
2020-09-17,81900,82900,81200,82200,4055050,0.8588957055214724,82200
2020-09-18,82900,83900,82200,83700,5199334,1.824817518248175,83700
2020-09-21,83700,85000,83600,84500,4102947,0.955794504181601,84500
2020-09-22,84400,84800,80200,81300,4139983,-3.7869822485207103,81300
2020-09-23,82300,84800,80500,83600,4439085,2.8290282902829027,83600
2020-09-24,82800,85400,82300,84300,6401560,0.8373205741626795,84300
2020-09-25,85800,85900,82200,82900,3205596,-1.6607354685646498,82900
2020-09-28,83400,83700,81300,82500,3154068,-0.48250904704463204,82500
2020-09-29,83100,84900,82200,84000,4707898,1.8181818181818181,84000
2020-10-05,83000,84100,82300,83200,3396894,-0.9523809523809524,83200
2020-10-06,84000,84200,82600,83000,2750145,-0.2403846153846154,83000
2020-10-07,82900,83700,82500,83400,2254356,0.48192771084337355,83400
2020-10-08,84300,84500,82900,82900,3330824,-0.5995203836930456,82900
2020-10-12,83900,85500,83500,85500,4464264,3.1363088057901085,85500
2020-10-13,85500,89000,84600,88200,6375448,3.1578947368421053,88200
2020-10-14,88000,88900,86100,86500,3223767,-1.9274376417233559,86500
2020-10-15,86100,87300,85900,87100,2802900,0.6936416184971098,87100
2020-10-16,87000,87900,84900,85300,2435541,-2.066590126291619,85300
2020-10-19,86100,87900,85800,86700,3150011,1.6412661195779603,86700
2020-10-20,85300,90900,83700,85200,6622637,-1.7301038062283738,85200
2020-10-21,85300,86200,82800,83800,4925877,-1.643192488262911,83800
2020-10-22,84200,84300,82500,83300,2593975,-0.5966587112171837,83300
2020-10-23,82800,84700,82300,83900,2609595,0.7202881152460985,83900
2020-10-26,84300,84700,83000,83200,1662847,-0.834326579261025,83200
2020-10-27,82300,83400,81800,82600,2265817,-0.7211538461538461,82600
2020-10-28,82100,83600,82000,82900,1773556,0.36319612590799033,82900
2020-10-29,81900,82400,81000,81700,2637314,-1.4475271411338964,81700
2020-10-30,81600,82100,79900,79900,2710477,-2.203182374541004,79900
2020-11-02,80200,80600,79200,79600,2000394,-0.37546933667083854,79600
2020-11-03,79600,81400,79600,81400,2057723,2.261306532663317,81400
2020-11-04,82100,84400,81200,83200,3782296,2.211302211302211,83200
2020-11-05,84100,86200,83300,86100,4082325,3.4855769230769234,86100
2020-11-06,86500,87700,86000,86300,2863808,0.23228803716608595,86300
2020-11-09,86500,87300,85600,86000,2444330,-0.34762456546929316,86000
2020-11-10,86900,87200,85900,86500,2849783,0.5813953488372093,86500
2020-11-11,86100,87200,85900,87000,2638617,0.5780346820809248,87000
2020-11-12,87600,88400,87000,88100,4006433,1.264367816091954,88100
2020-11-13,88100,90000,87500,89700,3774278,1.8161180476730987,89700
2020-11-16,92100,98100,91100,98000,9274278,9.253065774804906,98000
2020-11-17,97400,99600,96500,98100,5218295,0.10204081632653061,98100
2020-11-18,99800,100500,96600,98000,3734037,-0.10193679918450561,98000
2020-11-19,96200,98300,96000,98200,2766688,0.20408163265306123,98200
2020-11-20,99000,99000,96800,96800,2424003,-1.4256619144602851,96800
2020-11-23,97300,101000,96600,100000,4149013,3.3057851239669422,100000
2020-11-24,101000,102000,98300,98600,3766043,-1.4000000000000001,98600
2020-11-25,100500,100500,96300,97200,4081524,-1.4198782961460445,97200
2020-11-26,96800,99500,96300,99400,2933290,2.263374485596708,99400
2020-11-27,99600,99900,98200,98800,1976047,-0.6036217303822937,98800
2020-11-30,99700,99800,97300,97500,3877841,-1.3157894736842104,97500
2020-12-01,98600,101500,97800,100500,4455519,3.076923076923077,100500
2020-12-02,103000,109500,103000,109000,7488361,8.45771144278607,109000
