date,ticker,type,shares,price,reason
2022-05-23 00:00:00,373220.KS,BUY,216,438500.0,EntryRule
2022-06-14 00:00:00,373220.KS,SELL,216,411000.0,ExitRule
2022-07-15 00:00:00,373220.KS,BUY,222,401500.0,EntryRule
2022-09-26 00:00:00,373220.KS,SELL,222,453000.0,ExitRule
2022-10-12 00:00:00,373220.KS,BUY,201,497500.0,EntryRule
2022-11-24 00:00:00,373220.KS,SELL,201,568000.0,ExitRule
2023-01-13 00:00:00,373220.KS,BUY,237,479500.0,EntryRule
2023-02-23 00:00:00,373220.KS,SELL,237,511000.0,ExitRule
2023-03-07 00:00:00,373220.KS,BUY,220,548000.0,EntryRule
2023-04-24 00:00:00,373220.KS,SELL,220,566000.0,ExitRule
2023-05-25 00:00:00,373220.KS,BUY,215,579000.0,EntryRule
2023-06-20 00:00:00,373220.KS,SELL,215,561000.0,ExitRule
2023-07-25 00:00:00,373220.KS,BUY,199,607000.0,EntryRule
2023-08-02 00:00:00,373220.KS,SELL,199,551000.0,ExitRule
2023-08-30 00:00:00,373220.KS,BUY,197,557000.0,EntryRule
2023-09-06 00:00:00,373220.KS,SELL,197,537000.0,ExitRule
2023-11-10 00:00:00,373220.KS,BUY,254,418500.0,EntryRule
2023-12-04 00:00:00,373220.KS,SELL,254,429500.0,ExitRule
2023-12-05 00:00:00,373220.KS,BUY,256,425000.0,EntryRule
2023-12-07 00:00:00,373220.KS,SELL,256,428000.0,ExitRule
2024-02-13 00:00:00,373220.KS,BUY,278,395000.0,EntryRule
2024-03-07 00:00:00,373220.KS,SELL,278,391000.0,ExitRule
2024-03-13 00:00:00,373220.KS,BUY,259,419500.0,EntryRule
2024-04-02 00:00:00,373220.KS,SELL,259,395500.0,ExitRule
2024-05-02 00:00:00,373220.KS,BUY,267,385000.0,EntryRule
2024-05-21 00:00:00,373220.KS,SELL,267,367500.0,ExitRule
2024-06-14 00:00:00,373220.KS,BUY,271,363000.0,EntryRule
2024-06-18 00:00:00,373220.KS,SELL,271,340000.0,ExitRule
2024-07-05 00:00:00,373220.KS,BUY,257,359000.0,EntryRule
2024-07-22 00:00:00,373220.KS,SELL,257,343000.0,ExitRule
2024-08-19 00:00:00,373220.KS,BUY,263,336500.0,EntryRule
2024-10-18 00:00:00,373220.KS,SELL,263,396500.0,ExitRule
2024-10-30 00:00:00,373220.KS,BUY,255,406500.0,EntryRule
2024-11-12 00:00:00,373220.KS,SELL,255,418000.0,ExitRule
2024-11-14 00:00:00,373220.KS,BUY,252,421500.0,EntryRule
2024-11-19 00:00:00,373220.KS,SELL,252,384500.0,ExitRule
2024-11-27 00:00:00,373220.KS,BUY,238,408500.0,EntryRule
2024-12-02 00:00:00,373220.KS,SELL,238,387000.0,ExitRule
2025-01-21 00:00:00,373220.KS,BUY,254,365000.0,EntryRule
2025-02-03 00:00:00,373220.KS,SELL,254,345000.0,ExitRule
2025-02-18 00:00:00,373220.KS,BUY,247,355000.0,EntryRule
2025-03-06 00:00:00,373220.KS,SELL,247,337500.0,ExitRule
2025-03-28 00:00:00,373220.KS,BUY,232,360000.0,EntryRule
2025-04-04 00:00:00,373220.KS,SELL,232,311000.0,ExitRule
2025-04-16 00:00:00,373220.KS,BUY,208,350000.0,EntryRule
2025-05-08 00:00:00,373220.KS,SELL,208,322000.0,ExitRule
2025-06-12 00:00:00,373220.KS,BUY,230,292500.0,EntryRule
2025-08-25 00:00:00,373220.KS,SELL,230,373000.0,ExitRule
